dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,Log Loss__train,AUC__train,Accuracy__train,F1__train,time__val,Log Loss__val,AUC__val,Accuracy__val,F1__val,time__test,Log Loss__test,AUC__test,Accuracy__test,F1__test,time__train-eval
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_2_s0,2,CatBoost__seed_0__trial_2,9.212327947000006,0.6932420576674808,0.9677887097913449,0.7775,0.776809168205491,0.009986832000009827,0.6481699267895752,0.972351851851852,0.82,0.8220085470085471,0.009444218999988152,0.7336757271396342,0.9650925925925926,0.72,0.7077022977022978,0.015421758000002228
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_20_s0,20,CatBoost__seed_0__trial_20,46.821142120999866,0.6363189337647676,0.9741626296733537,0.7925,0.7921474738051869,0.01090233199965951,0.7642593605781951,0.9707777777777779,0.78,0.7803418803418803,0.010957134999898699,1.0075436078831321,0.926753086419753,0.64,0.633944721944722,0.025702972000090085
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_21_s0,21,CatBoost__seed_0__trial_21,20.644003674000032,0.7011031618615721,0.9681203178323163,0.78,0.7796949998323838,0.010407242999917798,0.6622451250430774,0.9740370370370369,0.82,0.8220085470085471,0.00961075199984407,0.7785099392977856,0.9563518518518519,0.72,0.7077022977022978,0.022260177000134718
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_22_s0,22,CatBoost__seed_0__trial_22,12.55234793999989,0.619309402991264,0.9745332882074405,0.79,0.7899938060529641,0.010304498000095919,0.681604556532879,0.9789629629629628,0.8,0.7991452991452991,0.008933126000101765,0.8946464513153733,0.9502037037037039,0.72,0.7077022977022978,0.014703933999953733
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_23_s0,23,CatBoost__seed_0__trial_23,58.539882732000024,0.5916972258491586,0.9766932045997936,0.7925,0.7915688308980815,0.00998334399992018,0.751894011463348,0.9704074074074075,0.76,0.756907536907537,0.00962709299983544,0.9891335688414918,0.9290555555555553,0.64,0.6297768897768898,0.017934145999788598
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_24_s0,24,CatBoost__seed_0__trial_24,31.30873303899989,0.5827525470589104,0.9774007503801885,0.7925,0.7921474738051869,0.009948982999958389,0.7490901696955693,0.9707777777777779,0.78,0.7803418803418803,0.008969870999862906,0.9871798590067051,0.9319691358024689,0.64,0.633944721944722,0.014212451999810582
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_25_s0,25,CatBoost__seed_0__trial_25,3.758683082999596,0.5888226061912956,0.977409144424483,0.7925,0.7939351831772161,0.011160085000483377,0.699594885248709,0.976962962962963,0.78,0.7797619047619048,0.010325600000214763,0.9267275730942791,0.9399567901234567,0.76,0.7511958041958043,0.015168050000283984
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_26_s0,26,CatBoost__seed_0__trial_26,26.871594807999827,0.6357689789686622,0.9726332388820028,0.79,0.7898759249373254,0.008708633999958693,0.6869007925792247,0.9777037037037037,0.8,0.7991452991452991,0.008691214000464242,0.9117348959974285,0.9447592592592594,0.7,0.6895204795204795,0.018931253000118886
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_27_s0,27,CatBoost__seed_0__trial_27,39.205712744000266,0.6024399419817277,0.9757068951004277,0.7925,0.7917090230039908,0.012541570000394131,0.7545655601628368,0.9704074074074075,0.76,0.756907536907537,0.012492372000451724,0.9923790320228011,0.9288703703703701,0.62,0.6128538128538129,0.030145921000439557
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_28_s0,28,CatBoost__seed_0__trial_28,3.7844887490000474,0.5809369323598509,0.9775693479270735,0.7925,0.7942470850604331,0.010226627000520239,0.6770737316221456,0.9802592592592592,0.78,0.7797619047619048,0.009573125999850163,0.8938882523570095,0.9417160493827159,0.72,0.7099836829836831,0.014792940999541315
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_29_s0,29,CatBoost__seed_0__trial_29,3.1903613469994525,0.6243121147106064,0.9738734230958591,0.785,0.7864732411366399,0.010584380000182136,0.6551709656612235,0.975,0.78,0.7797619047619048,0.009833226000409923,0.7473095557941214,0.9673333333333334,0.74,0.7346503496503496,0.01631808000001911
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_3_s0,3,CatBoost__seed_0__trial_3,8.846311067000016,0.5567568105403068,0.9795215498820755,0.7925,0.794067880427253,0.00893684899997993,0.7482119888690569,0.9717037037037037,0.76,0.7542063492063492,0.009381941000015104,0.9895948288684466,0.9341172839506173,0.66,0.6674786324786325,0.013848336999984667
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_4_s0,4,CatBoost__seed_0__trial_4,15.034724592000032,0.6240940366507592,0.9737632391554999,0.79,0.7898759249373254,0.009488632000000052,0.6877837464191431,0.9777037037037037,0.8,0.7991452991452991,0.009881980999978168,0.9158819761944799,0.9434259259259261,0.7,0.6895204795204795,0.013094103000014456
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_5_s0,5,CatBoost__seed_0__trial_5,19.848542243999987,0.5556534903134468,0.9795281391134342,0.7925,0.7951861730899347,0.008941552000010233,0.748585448905274,0.9711481481481482,0.74,0.7325497835497836,0.010531090999961634,0.990721420270646,0.9326358024691358,0.68,0.6872828282828283,0.018655166999963058
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_6_s0,6,CatBoost__seed_0__trial_6,8.048884347000012,0.6586372419305943,0.9710257581483213,0.785,0.7850338031702953,0.008511252000062086,0.672682684487842,0.9757407407407407,0.8,0.7991452991452991,0.009255186000018512,0.8406822518761082,0.9528888888888889,0.72,0.7077022977022978,0.013757671000007576
openml__LED-display-domain-7digit__125921__fold_0,openml__LED-display-domain-7digit__125921,classification,CatBoost,random_7_s0,7,CatBoost__seed_0__trial_7,36.92293362999999,0.5681811962573754,0.9793295068767741,0.7925,0.7957220548382046,0.009227627000086613,0.7484715337208446,0.9711481481481482,0.74,0.735984126984127,0.009784606000039275,0.9870375503216592,0.9339320987654319,0.68,0.6872828282828283,0.015120545000058883
