dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,MSE__train,R2__train,time__val,MSE__val,R2__val,time__test,MSE__test,R2__test,time__train-eval
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_7_s0,7,CatBoost__seed_0__trial_7,60.38904184900002,2361.037130012717,0.6936489407876774,1.9008517789998223,2333.2195587195515,0.6909183886214929,1.8296730559995922,2499.9545544964376,0.6841380693111057,14.035421161000158
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_8_s0,8,CatBoost__seed_0__trial_8,49.02492282700041,2239.8242432234774,0.7093766461193878,1.5271496129998923,2322.219446894762,0.6923755735124064,1.6060059900000851,2452.5330802159256,0.6901296335959106,11.520560457000101
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_9_s0,9,CatBoost__seed_0__trial_9,41.73163240899976,2458.1245761662517,0.6810515777105477,1.2559079570000904,2394.075038094564,0.6828568628400261,1.2557513800002198,2575.125543217005,0.6746404352095714,8.379291330000342
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,default,0,XGBoost__seed_0__trial_0,15.335756650999997,2350.3692510384544,0.695033127415567,4.227940162000003,2349.1608407710064,0.6888066468758482,3.9627994140000027,2512.4487704505577,0.6825594617453745,11.284745868000002
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_1_s0,1,XGBoost__seed_0__trial_1,12.858151067000108,2448.4688914303947,0.6823044293530096,4.254020080000032,2399.7423268002644,0.6821061170652623,4.821686233000037,2574.265631234322,0.6747490825682141,9.909955927999931
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_10_s0,10,XGBoost__seed_0__trial_10,12.971449401999962,2197.6649922450106,0.7148469248493041,3.6199707440000566,2319.383111713785,0.6927513028538091,4.144997737000267,2470.2933417007716,0.6878856766119513,7.682798847000413
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_11_s0,11,XGBoost__seed_0__trial_11,13.789514140999927,2473.302353370208,0.67908221938754,3.480484444000467,2430.538433587416,0.6780265565822441,4.363434517999849,2601.441675437622,0.6713154690350791,8.956748274000347
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_12_s0,12,XGBoost__seed_0__trial_12,13.854132378999566,2517.2373848791663,0.6733815282513427,3.6060595040007684,2458.842083912688,0.6742771718242877,4.222400157000266,2646.6711997018324,0.6656008512103118,8.734948552999413
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_13_s0,13,XGBoost__seed_0__trial_13,13.34001268799966,2195.4729031552106,0.7151313544357818,3.4860645250000744,2328.160518820754,0.691588559672522,4.036501154000689,2482.4496977416024,0.6863497566560097,7.144375036999918
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_14_s0,14,XGBoost__seed_0__trial_14,13.492644659999314,2433.86802433397,0.6841989320033699,4.040790381000079,2383.9883053499534,0.6841930523977544,4.659413848999975,2568.0991980696626,0.6755281933249876,11.405961827000283
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_15_s0,15,XGBoost__seed_0__trial_15,13.722739222999735,2152.3728454765123,0.72072370542177,3.7750490910002554,2307.551161444586,0.694318681389313,3.657368193000366,2451.7212846110724,0.6902322015912419,9.628029069999684
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_16_s0,16,XGBoost__seed_0__trial_16,13.693642686000203,2660.464925865496,0.6547973610089994,3.713035636999848,2576.9686332757105,0.6586289469980984,4.204885424999702,2786.230033475337,0.6479680016046641,8.636863507000271
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_17_s0,17,XGBoost__seed_0__trial_17,13.873185768999974,2650.467260423673,0.6560945855883251,3.2425999810002395,2568.4938516590514,0.6597516013785526,4.175787214000593,2775.5754159165263,0.649314181304941,8.601802666000367
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_18_s0,18,XGBoost__seed_0__trial_18,14.384646972000155,2322.898284032042,0.6985975609151603,4.157841987998836,2334.383974662803,0.6907641384332883,4.765816376000657,2500.4037581857187,0.684081313741564,12.813610193000386
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_19_s0,19,XGBoost__seed_0__trial_19,12.884213292998538,2897.192155050107,0.6240813521486419,3.8465548750009475,2798.081848961748,0.6293380777586731,4.284811475999959,3021.5945086034812,0.6182303900165492,7.166565918998458
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_2_s0,2,XGBoost__seed_0__trial_2,13.78579873000001,2423.447860126399,0.6855509769591976,3.8093126229999825,2384.5078334930986,0.6841242305009725,4.312355313000012,2554.8870608500897,0.677197508138409,10.962576303999981
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_20_s0,20,XGBoost__seed_0__trial_20,12.98174124399884,2282.2237561063284,0.7038751927467853,3.347755008000604,2332.048175312885,0.6910735617896251,3.955551013001241,2492.4491856886675,0.6850863506620168,8.400329685000543
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_21_s0,21,XGBoost__seed_0__trial_21,13.589125860000422,2990.434949214652,0.6119828432378265,3.5313639099986176,2891.5558788017447,0.6169555723673485,4.030813897999906,3115.839629439696,0.6063227952277587,7.4159407900006045
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_22_s0,22,XGBoost__seed_0__trial_22,12.50228504900042,2450.4530503470287,0.6820469792781974,3.98332756399941,2410.882167410377,0.680630422301173,4.433474613999351,2583.9366285467136,0.6735271804031187,8.469580015998872
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_23_s0,23,XGBoost__seed_0__trial_23,13.251228799001183,2378.0382378869385,0.6914430002970158,4.358468467999046,2357.741853605526,0.6876699200452157,4.575490466999327,2530.1245560310163,0.6803261780443389,11.800680901000305
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_24_s0,24,XGBoost__seed_0__trial_24,16.07113533700067,2042.1711866878388,0.7350226736454012,4.404395687999568,2308.5865656461515,0.6941815213874383,4.455808792001335,2433.826332858237,0.6924931762957894,10.747813759000564
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_25_s0,25,XGBoost__seed_0__trial_25,14.39307090499824,2111.887175658343,0.725976832394682,4.099209202000566,2306.356224297072,0.694476974721661,4.599099688000933,2440.9687234018893,0.691590756184674,9.836737008001364
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_26_s0,26,XGBoost__seed_0__trial_26,13.448578851001002,2461.4841789952443,0.6806156600063695,3.3778955329999008,2417.640388208279,0.6797351607444706,2.9710422320004,2591.6792905178936,0.6725489177565078,8.892066370000975
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_27_s0,27,XGBoost__seed_0__trial_27,13.703987716000483,2349.1897785155684,0.6951861672183319,3.9755945010001597,2346.4605725631377,0.6891643514243649,4.770481978001044,2511.96198307618,0.6826209659033718,9.411754493999979
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_28_s0,28,XGBoost__seed_0__trial_28,13.959145654998792,2247.0499635237807,0.7084390890435455,4.211729053999079,2314.4946482610617,0.6933988776418252,4.76332616199943,2478.193398123218,0.6868875276377402,12.766287274000206
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_29_s0,29,XGBoost__seed_0__trial_29,13.262706314999377,2144.475181102777,0.7217484490886281,3.4871108169991203,2313.3702052448243,0.6935478326161066,3.9209862200004864,2455.7100921321994,0.6897282274519906,7.6806696570001805
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_3_s0,3,XGBoost__seed_0__trial_3,13.882407939999894,2335.2214422433244,0.6969985972551322,4.4130487520001225,2342.821535839249,0.6896464146448114,4.650032587999931,2510.329648388191,0.6828272066068883,11.789357784000003
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_4_s0,4,XGBoost__seed_0__trial_4,14.032261596999888,2001.8924279007126,0.7402489533431403,3.4943191840000054,2332.2628026429825,0.6910451301056953,4.07782003300008,2445.514301627268,0.6910164356988144,7.726153352999972
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,XGBoost,random_5_s0,5,XGBoost__seed_0__trial_5,13.449637318999976,2440.2697375304865,0.683368292114824,3.4962053670001296,2407.685926326593,0.6810538283800558,3.730950754999867,2572.8150801240768,0.6749323554494834,8.43283818000009
