dataset_fold_id,dataset_name,target_type,alg_name,hparam_source,trial_number,alg_hparam_id,time__train,MSE__train,R2__train,time__val,MSE__val,R2__val,time__test,MSE__test,R2__test,time__train-eval
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_26_s0,26,CatBoost__seed_0__trial_26,41.911459354,2416.7220475486665,0.6864236696335566,1.25930804299999,2361.3324399679805,0.6871942750444897,1.3162416320000005,2537.3162536658174,0.679417528126774,9.408762963000008
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_27_s0,27,CatBoost__seed_0__trial_27,81.42003090000003,2293.104615823812,0.7024633712818795,2.659900447000041,2308.7897453046644,0.6941546061766438,3.139641609000023,2463.851956944201,0.6886995266964904,20.881368644999952
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_28_s0,28,CatBoost__seed_0__trial_28,47.49070853000012,2360.6985341821173,0.6936928745276558,1.5725039769999967,2335.6394035419635,0.690597831760823,1.5397073999999975,2498.541840278346,0.68431656161195,10.996366182999964
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_29_s0,29,CatBoost__seed_0__trial_29,33.175784104000286,2432.626837352672,0.6843599794267956,1.038400177999847,2378.6144919936974,0.6849049214909102,1.0170996900001228,2556.595330112723,0.6769816733239475,7.400010064000071
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_30_s0,30,CatBoost__seed_0__trial_30,37.297211382000114,2414.9606662704896,0.6866522136972595,1.2750738800000363,2361.6906433382383,0.6871468238415086,1.2201350689997525,2536.119004965658,0.6795687969909487,8.616193490000114
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_31_s0,31,CatBoost__seed_0__trial_31,95.18285250100007,2253.9644387667986,0.7075419168696437,3.164551574000143,2306.1781930641105,0.6945005585203454,5.186674994999976,2452.441244940799,0.6901412367137572,24.915324212000087
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_32_s0,32,CatBoost__seed_0__trial_32,38.94104239100034,2395.0041106301624,0.6892416316614789,1.2415075349999825,2355.052984061922,0.688026114612597,1.0839105059994836,2525.887980208979,0.6808614569822107,8.949943720000192
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_33_s0,33,CatBoost__seed_0__trial_33,35.44905038200068,2457.538715004216,0.6811275948071276,1.265527468000073,2394.2264898293083,0.6828368000276577,1.1581899669999984,2573.3248537872983,0.6748679470412626,7.799711399999978
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_34_s0,34,CatBoost__seed_0__trial_34,63.563237784000194,2359.3357562553415,0.6938696987105676,1.7389121180003713,2333.5077255337537,0.6908802151615858,1.7957875269994474,2501.518428053818,0.6839404784707847,13.878687442000228
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_35_s0,35,CatBoost__seed_0__trial_35,31.09968007599946,2476.190943395518,0.6787074168896737,0.9574974990000555,2408.1454504622425,0.6809929552145695,0.7309368720007114,2594.208080273124,0.6722294125827212,6.697658498999772
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_36_s0,36,CatBoost__seed_0__trial_36,51.09664453200003,2350.5038289635977,0.6950156655597621,1.931694516000789,2325.3809630675796,0.6919567674427238,1.6630519760001334,2494.0254406671143,0.6848871954654335,12.853979625000648
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_37_s0,37,CatBoost__seed_0__trial_37,46.65775363600005,2339.6973916989928,0.696417830506785,1.4426256280003145,2331.5806955681132,0.6911354888347079,1.4687700780013984,2485.8352710796403,0.6859219993877352,11.18622160400082
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_38_s0,38,CatBoost__seed_0__trial_38,77.5512340009991,2315.6018665304478,0.6995442911472498,2.5687309589993674,2313.3044127420544,0.6935565481494119,2.4815837260011904,2471.8210121126185,0.6876926599329584,20.497254104000604
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_39_s0,39,CatBoost__seed_0__trial_39,66.12718616699931,2314.3285688384653,0.6997095050236742,2.2684137460000784,2315.0993269157184,0.6933187758561836,2.2576382770002965,2473.594325990777,0.6874686069219685,18.04460050599846
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_40_s0,40,CatBoost__seed_0__trial_40,22.365683641999567,2592.136473849837,0.6636631655248407,0.7458239039988257,2513.187471510403,0.6670780379464157,0.7777931100008573,2706.295125758879,0.6580675429084639,5.584207634999984
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_41_s0,41,CatBoost__seed_0__trial_41,25.479127395999967,2617.617888904255,0.6603568818612255,0.7340902059986547,2534.4242684043134,0.6642647993122899,0.806105927000317,2732.639403294439,0.6547390206559215,6.960665607000919
openml__fps-in-video-games__362129__fold_0,openml__fps-in-video-games__362129,regression,CatBoost,random_42_s0,42,CatBoost__seed_0__trial_42,95.87092636600028,2234.673856126762,0.7100449230060047,3.272450074999142,2304.3044809779904,0.6947487691735921,3.178658577000533,2446.6694885625134,0.6908704812153551,28.50584420999985
